 aper_sum_5.0px  annulus_median_5.0px  aper_bkg_5.0px  aper_sum_bkgsub_5.0px  flux_err_5.0px       mag     dmag           x           y  sharpness  roundness1  roundness2        ra       dec   gaia_ra  gaia_dec     gaia_x      gaia_y  gaia_ID    gaia_g  gaia_g_err  gaia_g_rp      gaia_source_id  gaia_ra_error  gaia_dec_error   gaia_rp  gaia_rp_err  gaia_g_rp_err  gaia_d2d
       0.229800            -99.990000    -7853.196236            9228.196051      107.234014 14.913724 0.012544  515.063484   79.540796   0.406076   -0.098235   -0.331234 24.205842 15.756800 24.202564 15.757104 596.768140  355.667058      2.0 19.534204    0.006025   1.471666 2589380296075921920       0.442654        0.351289 18.062538     0.018239       7.438405 11.409003
       0.240803            -99.990000    -7853.196236            9228.208979      107.234014 14.913723 0.012544  619.894095   79.863459   0.601444   -0.271303   -0.143398 24.205389 15.755732 24.202564 15.757104 596.768140  355.667058      2.0 19.534204    0.006025   1.471666 2589380296075921920       0.442654        0.351289 18.062538     0.018239       7.438405 10.965685
       0.715163            -99.990000    -7853.196236            9228.766379      107.234018 14.913657 0.012543 1009.332416   83.293774   0.470825   -0.295864   -0.353361 24.203685 15.751772 24.202564 15.757104 596.768140  355.667058      2.0 19.534204    0.006025   1.471666 2589380296075921920       0.442654        0.351289 18.062538     0.018239       7.438405 19.586731
       0.044423            -99.990000    -7853.196236            9227.978223      107.234012 14.913750 0.012544  722.153641   84.005843   0.751227    0.360660   -0.135053 24.204907 15.754705 24.202564 15.757104 596.768140  355.667058      2.0 19.534204    0.006025   1.471666 2589380296075921920       0.442654        0.351289 18.062538     0.018239       7.438405 11.854350
       0.026403            -99.990000    -7853.196236            9227.957048      107.234012 14.913752 0.012544  393.761103   86.355592   0.757292    0.738539   -0.439379 24.206289 15.758066 24.202564 15.757104 596.768140  355.667058      2.0 19.534204    0.006025   1.471666 2589380296075921920       0.442654        0.351289 18.062538     0.018239       7.438405 13.362019
       0.144694            -99.990000    -7853.196236            9228.096046      107.234013 14.913736 0.012544  573.304437   87.204400   0.440672   -0.067787    0.261147 24.205511 15.756237 24.202564 15.757104 596.768140  355.667058      2.0 19.534204    0.006025   1.471666 2589380296075921920       0.442654        0.351289 18.062538     0.018239       7.438405 10.677038
       0.030407            -99.990000    -7853.196236            9227.961753      107.234012 14.913752 0.012544  344.393549   89.594286   0.565381    0.533338    0.280554 24.206466 15.758583 24.202564 15.757104 596.768140  355.667058      2.0 19.534204    0.006025   1.471666 2589380296075921920       0.442654        0.351289 18.062538     0.018239       7.438405 14.529668
       0.193886            -99.990000    -7853.196236            9228.153849      107.234013 14.913729 0.012544   31.904310   90.752748   0.508690   -0.584539   -0.211273 24.207792 15.761776 24.202564 15.757104 596.768140  355.667058      2.0 19.534204    0.006025   1.471666 2589380296075921920       0.442654        0.351289 18.062538     0.018239       7.438405 24.718903
       0.083074            -99.990000    -7853.196236            9228.023639      107.234012 14.913745 0.012544  890.453110  102.319286   0.556941   -0.132720    0.402456 24.203992 15.753063 24.202564 15.757104 596.768140  355.667058      2.0 19.534204    0.006025   1.471666 2589380296075921920       0.442654        0.351289 18.062538     0.018239       7.438405 15.367043
       0.071680            -99.990000    -7853.196236            9228.010252      107.234012 14.913746 0.012544  368.751928  106.156465   0.800285   -0.690541   -0.156044 24.206186 15.758403 24.202564 15.757104 596.768140  355.667058      2.0 19.534204    0.006025   1.471666 2589380296075921920       0.442654        0.351289 18.062538     0.018239       7.438405 13.391732
       0.214411            -99.990000    -7853.196236            9228.177967      107.234013 14.913726 0.012544  409.316626  113.436333   0.496020    0.658073    0.239412 24.205935 15.758019 24.202564 15.757104 596.768140  355.667058      2.0 19.534204    0.006025   1.471666 2589380296075921920       0.442654        0.351289 18.062538     0.018239       7.438405 12.135225
       0.229367            -99.990000    -7853.196236            9228.195542      107.234014 14.913724 0.012544  263.568234  118.903428   0.396501    0.826516    0.542560 24.206501 15.759529 24.202564 15.757104 596.768140  355.667058      2.0 19.534204    0.006025   1.471666 2589380296075921920       0.442654        0.351289 18.062538     0.018239       7.438405 16.194803
